Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q67207189	Hallberg, Anna	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-10	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168752	Varas, Lorena Delgado	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-14	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q67207189	Hallberg, Anna	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-22	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168752	Varas, Lorena Delgado	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-27	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q67207189	Hallberg, Anna	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168752	Varas, Lorena Delgado	F	-	
ParlaMint-SE-en_2019-10-18-prot-201920--22	i-1e73222b791d9e44-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 22	2019-10-18	Unicameralism	2019/20	-	-	2019/20--22	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q67207189	Hallberg, Anna	F	-	
