Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-3	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-13	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-28	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-33	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-40	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-44	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2019-02-06-prot-201819--48	i-d25377057a188513-47	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 48	2019-02-06	Unicameralism	2018/19	-	-	2018/19--48	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6247957	Wykman, Niklas	M	-	
