Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-5	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q70639708	Ottosson, Kjell-Arne	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-16	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-25	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q70639708	Ottosson, Kjell-Arne	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-35	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q70639708	Ottosson, Kjell-Arne	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-49	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-57	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q17080318	Adaktusson, Lars	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-64	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-74	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q17080318	Adaktusson, Lars	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-81	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-88	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q17080318	Adaktusson, Lars	M	-	
ParlaMint-SE-en_2019-10-08-prot-201920--16	i-ea195761617f9116-92	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 16	2019-10-08	Unicameralism	2019/20	-	-	2019/20--16	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
