Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-4	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-7	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-17	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q63870850	Brodin, Camilla	F	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-28	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-38	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-49	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q63870850	Brodin, Camilla	F	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-55	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-f07c96955e512bd4-64	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2019-02-08-prot-201819--50	i-CGrk9KfhD6d6fsQSsTQWrP	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 50	2019-02-08	Unicameralism	2018/19	-	-	2018/19--50	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
