Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-01-21-prot-201819--40	i-38e7214a742945da-0	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 40	2019-01-21	Unicameralism	2018/19	-	-	2018/19--40	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2019-01-21-prot-201819--40	i-38e7214a742945da-22	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 40	2019-01-21	Unicameralism	2018/19	-	-	2018/19--40	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2019-01-21-prot-201819--40	i-38e7214a742945da-111	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 40	2019-01-21	Unicameralism	2018/19	-	-	2018/19--40	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2019-01-21-prot-201819--40	i-38e7214a742945da-119	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 40	2019-01-21	Unicameralism	2018/19	-	-	2018/19--40	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
