Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-3	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-11	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-20	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-25	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-30	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2019-12-09-prot-201920--47	i-0c1c474de11bc945-42	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 47	2019-12-09	Unicameralism	2019/20	-	-	2019/20--47	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
