Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-10f45ba5c67bdb2e-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	notMP	notMinister	M	Moderaterna	-	Centre-right	Q4755577	Norlén, Andreas	M	-	
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-10f45ba5c67bdb2e-1	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-10f45ba5c67bdb2e-8	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	notMP	notMinister	M	Moderaterna	-	Centre-right	Q4755577	Norlén, Andreas	M	-	
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-UHcMreiefYTHj21PqnfYVn	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-10f45ba5c67bdb2e-34	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2019-09-10-prot-201920--2	i-10f45ba5c67bdb2e-66	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 2	2019-09-10	Unicameralism	2019/20	-	-	2019/20--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
