Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-5	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-9	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6071900	Riedl, Edward	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-18	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-23	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6071900	Riedl, Edward	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-30	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-36	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6071900	Riedl, Edward	M	-	
ParlaMint-SE-en_2019-09-05-prot-201819--112	i-392d7873c8915883-41	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 112	2019-09-05	Unicameralism	2018/19	-	-	2018/19--112	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
