Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-8	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-11	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-18	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-23	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-09-13-prot-201920--4	i-c39ba496bf805eb3-44	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 4	2019-09-13	Unicameralism	2019/20	-	-	2019/20--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
