Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2022-03-23-O1168	ParlaMint-FR_2022-03-23-O1168.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 168, 23/03/2022	2022-03-23	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N168)	-	168. séance	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	PA-103629	Gérard, Larcher	M	1949	
ParlaMint-FR-en_2022-03-23-O1168	ParlaMint-FR_2022-03-23-O1168.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 168, 23/03/2022	2022-03-23	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N168)	-	168. séance	-	COVID,War	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
ParlaMint-FR-en_2022-03-23-O1168	ParlaMint-FR_2022-03-23-O1168.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 168, 23/03/2022	2022-03-23	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N168)	-	168. séance	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	PA-121669	Zelensky, Volodymyr	M	1978	
ParlaMint-FR-en_2022-03-23-O1168	ParlaMint-FR_2022-03-23-O1168.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 168, 23/03/2022	2022-03-23	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N168)	-	168. séance	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	PA-121669	Zelensky, Volodymyr	M	1978	
ParlaMint-FR-en_2022-03-23-O1168	ParlaMint-FR_2022-03-23-O1168.u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 168, 23/03/2022	2022-03-23	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N168)	-	168. séance	-	COVID,War	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
