Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e35	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e144	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ATW	Wøien, Anne Tingelstad	F	1965	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e200	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e241	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ATW	Wøien, Anne Tingelstad	F	1965	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e254	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e267	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TRUW	Wickholm, Truls	M	1978	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e288	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.METH	Hanekamhaug, Mette	F	1987	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e303	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e324	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TALI	Lien, Tord	M	1975	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e339	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ATW	Wøien, Anne Tingelstad	F	1965	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e354	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e368	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-21	ParlaMint-NO_2011-10-21.ana.ud1329e384	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-21	2011-10-21	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAAA	Aasen, Marianne	F	1967	
