Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e35	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e54	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e116	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e134	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e170	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e225	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e236	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e249	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOM	Mandt, Sonja	F	1960	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e279	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e308	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2011-10-11	ParlaMint-NO_2011-10-11.ana.ud1857e331	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-11	2011-10-11	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AC	Chaudhry, Akhtar	M	1961	
