Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e29	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e55	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e58	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e63	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e80	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e126	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e129	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e155	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e160	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e165	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EBO	Norderhus, Else-May	F	1973	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e191	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e208	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.ALEH	Holmelid, Alf Egil	M	1947	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e232	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.IRLN	Nordahl, Irene Lange	F	1968	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e251	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e261	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e270	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e276	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-10-20	ParlaMint-NO_2011-10-20.ana.ud846e419	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2011-2012, Sitting day 2011-10-20	2011-10-20	Unicameralism	Term 2009-2013	Session 2011-2012	-	Sitting day 2011-10-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
