Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2011-08-01	ParlaMint-NO_2011-08-01.ana.ud794e40	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-08-01	2011-08-01	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-08-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-08-01	ParlaMint-NO_2011-08-01.ana.ud794e145	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-08-01	2011-08-01	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-08-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2011-08-01	ParlaMint-NO_2011-08-01.ana.ud794e198	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-08-01	2011-08-01	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-08-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-08-01	ParlaMint-NO_2011-08-01.ana.ud794e448	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-08-01	2011-08-01	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-08-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
