Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e43	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e48	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e55	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e64	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OYK	Korsberg, Øyvind	M	1960	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e69	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e76	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e85	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e90	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.HOSY	Syversen, Hans Olav	M	1966	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e96	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e99	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e104	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e129	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e132	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e155	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e171	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UEK	Knudsen, Ulf Erik	M	1964	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e215	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.TOAS	Aasland, Tora	F	1942	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e255	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e263	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2011-03-11	ParlaMint-NO_2011-03-11.ana.ud2000e307	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2011-03-11	2011-03-11	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2011-03-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
