Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e31	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e52	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e55	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GUNL	Ludvigsen, Gunvald	M	1949	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e60	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e114	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e160	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e163	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e176	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e179	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2007-01-18	ParlaMint-NO_2007-01-18.ana.ud1844e192	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-18	2007-01-18	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUE	Eldegard, Gunvor	F	1963	
