Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e85	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e119	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e135	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e151	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e167	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e183	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e199	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e215	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e231	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e247	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-06-07-upper	ParlaMint-NO_2007-06-07-upper.ana.ud1070e264	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-07	2007-06-07	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
