Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e60	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e74	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e90	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e157	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e176	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e179	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GBG	Gjerde, Gunn Berit	F	1954	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e184	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e201	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JASP	Asphjell, Jorodd	M	1960	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e227	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.SKB	Brustad, Sylvia	F	1966	
ParlaMint-NO-en_2007-05-31-upper	ParlaMint-NO_2007-05-31-upper.ana.ud988e271	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-31	2007-05-31	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-31	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
