Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e29	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e45	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e54	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SKK	Kosmo, Silvia K.	F	1977	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e69	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e78	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.BJT	Tørresdal, Bjørg	F	1958	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e102	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e107	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e122	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e127	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2007-06-01-lower	ParlaMint-NO_2007-06-01-lower.ana.ud2213e147	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-01	2007-06-01	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-01	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
