Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-05-08-lower	ParlaMint-NO_2007-05-08-lower.ana.ud965e38	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-08	2007-05-08	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-05-08-lower	ParlaMint-NO_2007-05-08-lower.ana.ud965e41	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-08	2007-05-08	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.INGR	Ryan, Inge	M	1956	
ParlaMint-NO-en_2007-05-08-lower	ParlaMint-NO_2007-05-08-lower.ana.ud965e46	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-08	2007-05-08	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-05-08-lower	ParlaMint-NO_2007-05-08-lower.ana.ud965e138	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-05-08	2007-05-08	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-05-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
