Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e33	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e93	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e96	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DE	Eriksen, Dagrun	F	1971	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e101	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e113	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e116	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e123	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e139	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e142	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOJ	Johansen, Morten Ørsal	M	1964	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e158	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e161	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANMB	Bjørnflaten, Anne Marit	F	1969	
