Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-03-29-upper	ParlaMint-NO_2007-03-29-upper.ana.ud408e74	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-03-29	2007-03-29	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-03-29	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-03-29-upper	ParlaMint-NO_2007-03-29-upper.ana.ud408e90	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-03-29	2007-03-29	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-03-29	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-03-29-upper	ParlaMint-NO_2007-03-29-upper.ana.ud408e106	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-03-29	2007-03-29	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-03-29	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2007-03-29-upper	ParlaMint-NO_2007-03-29-upper.ana.ud408e122	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-03-29	2007-03-29	Upper house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-03-29	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
