Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e35	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e56	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e63	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KGRA	Gravråk, Knut	M	1985	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e92	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e107	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e118	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e139	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUO	Olsen, Gunn	F	1952	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e155	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUO	Olsen, Gunn	F	1952	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e163	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUO	Olsen, Gunn	F	1952	
ParlaMint-NO-en_2007-01-11-lower	ParlaMint-NO_2007-01-11-lower.ana.ud1958e199	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-01-11	2007-01-11	Lower house	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-01-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUO	Olsen, Gunn	F	1952	
