Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u1	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u2	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u3	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	ArjaJuvonen	Juvonen, Arja	F	1967	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u4	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u5	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u6	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	ArjaJuvonen	Juvonen, Arja	F	1967	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u7	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u8	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u9	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	JohannaKarimäki	Karimäki, Johanna	F	1973	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u10	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	JariMyllykoski	Myllykoski, Jari	M	1959	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u11	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	MarkkuEestilä	Eestilä, Markku	M	1956	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u12	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	EeroSuutari	Suutari, Eero	M	1956	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u13	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	JariMyllykoski	Myllykoski, Jari	M	1959	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u14	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	JohannaKarimäki	Karimäki, Johanna	F	1973	
ParlaMint-FI-en_2017-03-03-ps-17	ParlaMint-FI_2017-03-03-ps-17.u15	Minutes of the Finnish Parliament's plenary session 17/2017, 2017-03-03	2017-03-03	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 17	2017-03-03	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	MarkkuEestilä	Eestilä, Markku	M	1956	
