Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u1	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	NA	Non-affiliated	-	-	FrancesDSouza	D'Souza, Frances	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u2	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	NA	Non-affiliated	-	-	FrancesDSouza	D'Souza, Frances	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u3	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	VirginiaBottomley	Bottomley, Virginia	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u4	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DanielFinkelstein	Finkelstein, Daniel	M	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u5	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u6	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DanielFinkelstein	Finkelstein, Daniel	M	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u7	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	JanetRoyall	Royall, Janet	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u8	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	JanetRoyall	Royall, Janet	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u9	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u10	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	JanetRoyall	Royall, Janet	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u11	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	LD	Liberal Democrat	-	Centre to centre-left	JamesWallace	Wallace, James	M	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u12	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TinaStowell	Stowell, Tina	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u13	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TinaStowell	Stowell, Tina	F	-	
ParlaMint-GB-en_2015-05-27-lords	ParlaMint-GB_2015-05-27-lords.u14	Minutes of the House of Lords, Daily Session 2015-05-27	2015-05-27	Upper house	55	-	2015-05-27	2015-05-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TinaStowell	Stowell, Tina	F	-	
