Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u1	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u2	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DamianCollins	Collins, Damian Noel Thomas	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u3	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertGoodwill	Goodwill, Robert	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u4	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DamianCollins	Collins, Damian Noel Thomas	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u5	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertGoodwill	Goodwill, Robert	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u6	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	RobertFlello	Flello, Robert Charles Douglas	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u7	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertGoodwill	Goodwill, Robert	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u8	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	HelenWhately	Whately, Helen Olivia Bicknell	F	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u9	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertGoodwill	Goodwill, Robert	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u10	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	DUP	Democratic Unionist Party	-	Right	RichardShannon	Shannon, Richard James	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u11	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertGoodwill	Goodwill, Robert	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u12	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	IainStewart	Stewart, Iain Aitken	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u13	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PatrickMcLoughlin	McLoughlin, Patrick	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u14	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	IainStewart	Stewart, Iain Aitken	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u15	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PatrickMcLoughlin	McLoughlin, Patrick	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u16	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	JonathanReynolds	Reynolds, Jonathan Neil	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u17	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PatrickMcLoughlin	McLoughlin, Patrick	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u18	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	StephenHammond	Hammond, Stephen William	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u19	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PatrickMcLoughlin	McLoughlin, Patrick	M	-	
ParlaMint-GB-en_2015-07-16-commons	ParlaMint-GB_2015-07-16-commons.u20	Minutes of the House of Commons, Daily Session 2015-07-16	2015-07-16	Lower house	56	-	2015-07-16	2015-07-16	-	Reference	English	Regular	MP	notMinister	SNP	Scottish National Party	-	Centre-left	AndrewHendry	Hendry, Andrew Egan Henderson	M	-	
