Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57722	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	SanaderAnte	Sanader, Ante	M	1960	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57778	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	MiletićMarin	Miletić, Marin	M	1979	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57924	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	SanaderAnte	Sanader, Ante	M	1960	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57925	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	DrevenBudinskiNadica	Dreven Budinski, Nadica	F	1962	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57985	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	SanaderAnte	Sanader, Ante	M	1960	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u57986	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Regular	MP	notMinister	DP	Domovinski pokret	Coalition	Right to far-right	DretarDavor	Dretar, Davor	M	1966	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u58288	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	SanaderAnte	Sanader, Ante	M	1960	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u58289	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	MarićAndreja	Marić, Andreja	F	1973	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u58290	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	SanaderAnte	Sanader, Ante	M	1960	
ParlaMint-HR-en_2021-10-22-0	ParlaMint-HR_2021-10-22-0.u66589	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 8	2021-10-22	Unicameralism	10. mandat	-	Zasedanje 8	2021-11-12	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ZrinušićZdravko	Zrinušić, Zdravko	U	-	
