Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42809	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42810	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	DP	Domovinski pokret	Coalition	Right to far-right	PrkačinAnte	Prkačin, Ante	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42863	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42864	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	SDSS	Samostalna demokratska srpska stranka	Opposition	Centre-left	JeckovDragana	Jeckov, Dragana	F	1976	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42895	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42896	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	HSU	Hrvatska stranka umirovljenika	Coalition	Centre-left	HreljaSilvano	Hrelja, Silvano	M	1958	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u42897	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43003	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	GLAS	Građansko-liberalni savez	Coalition	Centre-left	MrakTaritašAnka	Mrak-Taritaš, Anka	F	1959	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43074	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43075	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	ZekanovićHrvoje	Zekanović, Hrvoje	M	1974	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43164	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43165	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	NikolićRomana	Nikolić, Romana	F	1982	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43259	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43260	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BaričevićDanica	Baričević, Danica	F	1972	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43466	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43467	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	VrkljanMilan	Vrkljan, Milan	M	1960	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u43468	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u44567	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u44568	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	JankovicsRobert	Jankovics, Robert	M	1975	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u44569	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u49331	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u49332	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ČurajStjepan	Čuraj, Stjepan	M	1980	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u49333	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u49334	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	OpačakBilićMarina	Opačak Bilić, Marina	F	1989	
ParlaMint-HR-en_2021-05-26-0	ParlaMint-HR_2021-05-26-0.u49335	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 7	2021-05-26	Unicameralism	10. mandat	-	Zasedanje 7	2021-07-15	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
