Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e29	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e87	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e92	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.KETK	Kjenseth, Ketil	M	1968	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e97	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e117	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.FR	de Ruiter, Freddy	M	1969	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e170	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e219	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.FR	de Ruiter, Freddy	M	1969	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e234	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e245	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e262	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.KKK	Kjos, Kari Kjønaas	F	1962	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e300	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e340	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUG	Grung, Ruth	F	1959	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e355	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.KETK	Kjenseth, Ketil	M	1968	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e374	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e390	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.FR	de Ruiter, Freddy	M	1969	
ParlaMint-NO-en_2017-02-07	ParlaMint-NO_2017-02-07.ana.ud138e407	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2016-2017, Sitting day 2017-02-07	2017-02-07	Unicameralism	Term 2013-2017	Session 2016-2017	-	Sitting day 2017-02-07	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
