Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e27	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e70	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e119	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e209	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e221	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-06	ParlaMint-NO_2017-10-06.ana.ud67e245	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-06	2017-10-06	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
