Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e55	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e91	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e104	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e148	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e153	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OHA	Hansen, Øystein Langholm	M	1957	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e160	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e167	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.SIMOS	Mossleth, Siv	F	1967	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e174	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e179	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ARNEV	Nævra, Arne	M	1953	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e184	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e191	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2017-12-14	ParlaMint-NO_2017-12-14.ana.ud316e197	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-14	2017-12-14	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
