Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e27	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e32	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.GJB	Bekkevold, Geir Jørgen	M	1963	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e37	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e42	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MHE	Henriksen, Martin	M	1979	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e47	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e52	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.LVA	Vågslid, Lene	F	1986	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e57	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e62	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Regular	MP	notMinister	MDG	Miljøpartiet De Grønne	-	Centre-left	person.UAB	Bastholm, Une	F	1986	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e68	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e86	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-19	ParlaMint-NO_2017-10-19.ana.ud159e8044	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-19	2017-10-19	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
