Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e116	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e152	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e157	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e164	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e186	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e199	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e216	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e221	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.AAST	Grande, Arild	M	1978	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e230	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e237	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.AAST	Grande, Arild	M	1978	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e246	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e255	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e262	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e269	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e277	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e282	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.SL	Lerbrekk, Solfrid	F	1990	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e289	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e296	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2017-12-15	ParlaMint-NO_2017-12-15.ana.ud37e301	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-12-15	2017-12-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-12-15	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HTA	Tajik, Hadia	F	1983	
