Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-10-02	ParlaMint-NO_2017-10-02.ana.ud540e2399	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-02	2017-10-02	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-02	ParlaMint-NO_2017-10-02.ana.ud540e2410	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-02	2017-10-02	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-02	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-02	ParlaMint-NO_2017-10-02.ana.ud540e2477	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-02	2017-10-02	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-02	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-02	ParlaMint-NO_2017-10-02.ana.ud540e2605	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-02	2017-10-02	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-02	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-02	ParlaMint-NO_2017-10-02.ana.ud540e2630	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-02	2017-10-02	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-02	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
