Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e25	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e133	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Regular	MP	notMinister	MDG	Miljøpartiet De Grønne	-	Centre-left	person.UAB	Bastholm, Une	F	1986	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e138	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e143	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.HLI	Limi, Hans Andreas	M	1960	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e148	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e153	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Regular	MP	notMinister	R	Rødt	-	Left to far-left	person.BJMO	Moxnes, Bjørnar	M	1981	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e158	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e163	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.EBO	Norderhus, Else-May	F	1973	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e169	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e174	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ARNEV	Nævra, Arne	M	1953	
ParlaMint-NO-en_2017-11-23	ParlaMint-NO_2017-11-23.ana.ud51e179	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-11-23	2017-11-23	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
