Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e37	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e57	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e69	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.CES	Grimstad, Carl-Erik	M	1952	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e74	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e79	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RIAJ	Aasrud, Rigmor	F	1960	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e84	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e128	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e142	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e185	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e234	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2017-10-26	ParlaMint-NO_2017-10-26.ana.ud130e306	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2017-10-26	2017-10-26	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2017-10-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
