Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2020-10-01-tbmm-T27	tbmm-2020-10-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 4, Session 1	2020-10-01	Unicameralism	27	4	1	-	-	COVID	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mustafa.Şentop	Şentop, Mustafa	M	1968	
ParlaMint-TR-en_2020-10-01-tbmm-T27	tbmm-2020-10-01sit01spe0002par0033	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 4, Session 1	2020-10-01	Unicameralism	27	4	1	-	-	COVID	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2020-10-01-tbmm-T27	tbmm-2020-10-01sit01spe0003par0115	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 4, Session 1	2020-10-01	Unicameralism	27	4	1	-	-	COVID	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mustafa.Şentop	Şentop, Mustafa	M	1968	
