Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u1	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u2	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u3	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u4	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u5	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u6	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u7	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u8	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u9	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u10	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u11	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u12	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u13	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u14	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	MattiSemi	Semi, Matti	M	1957	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u15	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	HannaSarkkinen	Sarkkinen, Hanna	F	1988	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u16	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u17	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u18	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u19	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u20	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2019-03-15-ps-179	ParlaMint-FI_2019-03-15-ps-179.u21	Minutes of the Finnish Parliament's plenary session 179/2018, 2019-03-15	2019-03-15	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 179	2019-03-15	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
