Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2019-06-06-ps-12	ParlaMint-FI_2019-06-06-ps-12.u1	Minutes of the Finnish Parliament's plenary session 12/2019, 2019-06-06	2019-06-06	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 12	2019-06-06	-	Reference	English	Chairperson	MP	Minister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2019-06-06-ps-12	ParlaMint-FI_2019-06-06-ps-12.u2	Minutes of the Finnish Parliament's plenary session 12/2019, 2019-06-06	2019-06-06	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 12	2019-06-06	-	Reference	English	Chairperson	MP	Minister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2019-06-06-ps-12	ParlaMint-FI_2019-06-06-ps-12.u3	Minutes of the Finnish Parliament's plenary session 12/2019, 2019-06-06	2019-06-06	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 12	2019-06-06	-	Reference	English	Chairperson	MP	Minister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
