Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2001-12-05-SDZ3-Redna-10	ParlaMint-SI_2001-12-05-SDZ3-Redna-10.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Regular Session 10, (05. 12. 2001)	2001-12-05	Lower house	3. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	Coalition	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2001-12-05-SDZ3-Redna-10	ParlaMint-SI_2001-12-05-SDZ3-Redna-10.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Regular Session 10, (05. 12. 2001)	2001-12-05	Lower house	3. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	LDS	Liberal Democracy of Slovenia	Coalition	Centre to centre-left	ŠkolčJožef	Školč, Jožef	M	1960	
ParlaMint-SI-en_2001-12-05-SDZ3-Redna-10	ParlaMint-SI_2001-12-05-SDZ3-Redna-10.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Regular Session 10, (05. 12. 2001)	2001-12-05	Lower house	3. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	Coalition	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
