Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-05-16-025-XXV-NRSITZ-00180	ParlaMint-AT_2017-05-16-025-XXV-NRSITZ-00180_d7e1051	Sitting Number 180, Legislative period XXV, Tuesday, 16. May 2017	2017-05-16	Lower house	Legislative period XXV	-	-	Sitting 180	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-05-16-025-XXV-NRSITZ-00180	ParlaMint-AT_2017-05-16-025-XXV-NRSITZ-00180_d7e1082	Sitting Number 180, Legislative period XXV, Tuesday, 16. May 2017	2017-05-16	Lower house	Legislative period XXV	-	-	Sitting 180	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-05-16-025-XXV-NRSITZ-00180	ParlaMint-AT_2017-05-16-025-XXV-NRSITZ-00180_d7e1358	Sitting Number 180, Legislative period XXV, Tuesday, 16. May 2017	2017-05-16	Lower house	Legislative period XXV	-	-	Sitting 180	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
