Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-06-29-025-XXV-NRSITZ-00191	ParlaMint-AT_2017-06-29-025-XXV-NRSITZ-00191_d7e367	Sitting Number 191, Legislative period XXV, Thursday, 29. June 2017	2017-06-29	Lower house	Legislative period XXV	-	-	Sitting 191	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-06-29-025-XXV-NRSITZ-00191	ParlaMint-AT_2017-06-29-025-XXV-NRSITZ-00191_d7e398	Sitting Number 191, Legislative period XXV, Thursday, 29. June 2017	2017-06-29	Lower house	Legislative period XXV	-	-	Sitting 191	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-06-29-025-XXV-NRSITZ-00191	ParlaMint-AT_2017-06-29-025-XXV-NRSITZ-00191_d7e554	Sitting Number 191, Legislative period XXV, Thursday, 29. June 2017	2017-06-29	Lower house	Legislative period XXV	-	-	Sitting 191	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
