Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-05-17-025-XXV-NRSITZ-00182	ParlaMint-AT_2017-05-17-025-XXV-NRSITZ-00182_d7e361	Sitting Number 182, Legislative period XXV, Wednesday, 17. May 2017	2017-05-17	Lower house	Legislative period XXV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-05-17-025-XXV-NRSITZ-00182	ParlaMint-AT_2017-05-17-025-XXV-NRSITZ-00182_d7e392	Sitting Number 182, Legislative period XXV, Wednesday, 17. May 2017	2017-05-17	Lower house	Legislative period XXV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-05-17-025-XXV-NRSITZ-00182	ParlaMint-AT_2017-05-17-025-XXV-NRSITZ-00182_d7e630	Sitting Number 182, Legislative period XXV, Wednesday, 17. May 2017	2017-05-17	Lower house	Legislative period XXV	-	-	Sitting 182	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
