Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-12-20-026-XXVI-NRSITZ-00006	ParlaMint-AT_2017-12-20-026-XXVI-NRSITZ-00006_d7e352	Sitting Number 6, Legislative period XXVI, Wednesday, 20. December 2017	2017-12-20	Lower house	Legislative period XXVI	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2017-12-20-026-XXVI-NRSITZ-00006	ParlaMint-AT_2017-12-20-026-XXVI-NRSITZ-00006_d7e383	Sitting Number 6, Legislative period XXVI, Wednesday, 20. December 2017	2017-12-20	Lower house	Legislative period XXVI	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2017-12-20-026-XXVI-NRSITZ-00006	ParlaMint-AT_2017-12-20-026-XXVI-NRSITZ-00006_d7e1132	Sitting Number 6, Legislative period XXVI, Wednesday, 20. December 2017	2017-12-20	Lower house	Legislative period XXVI	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
