Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e516	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e550	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e758	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e782	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e816	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_35516	Rossmann, Bruno	M	1952	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e956	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1007	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_14842	Krainer, Kai Jan	M	1968	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1062	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1083	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_83147	Groiß, Werner	M	1967	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1139	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1161	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_51560	Haider, Roman	M	1967	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1195	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1217	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_08242	Kogler, Werner	M	1961	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1280	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1301	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83120	Hable, Rainer	M	1972	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1452	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1474	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Regular	MP	notMinister	STRONACH	parliamentary group Team Stronach	-	Centre-right to right	PAD_51579	Lugar, Robert	M	1970	
ParlaMint-AT-en_2017-03-14-025-XXV-NRSITZ-00170	ParlaMint-AT_2017-03-14-025-XXV-NRSITZ-00170_d7e1537	Sitting Number 170, Legislative period XXV, Tuesday, 14. March 2017	2017-03-14	Lower house	Legislative period XXV	-	-	Sitting 170	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
