Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-03-01-025-XXV-NRSITZ-00166	ParlaMint-AT_2017-03-01-025-XXV-NRSITZ-00166_d7e437	Sitting Number 166, Legislative period XXV, Wednesday, 1. March 2017	2017-03-01	Lower house	Legislative period XXV	-	-	Sitting 166	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-03-01-025-XXV-NRSITZ-00166	ParlaMint-AT_2017-03-01-025-XXV-NRSITZ-00166_d7e468	Sitting Number 166, Legislative period XXV, Wednesday, 1. March 2017	2017-03-01	Lower house	Legislative period XXV	-	-	Sitting 166	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-03-01-025-XXV-NRSITZ-00166	ParlaMint-AT_2017-03-01-025-XXV-NRSITZ-00166_d7e829	Sitting Number 166, Legislative period XXV, Wednesday, 1. March 2017	2017-03-01	Lower house	Legislative period XXV	-	-	Sitting 166	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
