Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-03-30-025-XXV-NRSITZ-00174	ParlaMint-AT_2017-03-30-025-XXV-NRSITZ-00174_d7e798	Sitting Number 174, Legislative period XXV, Thursday, 30. March 2017	2017-03-30	Lower house	Legislative period XXV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-30-025-XXV-NRSITZ-00174	ParlaMint-AT_2017-03-30-025-XXV-NRSITZ-00174_d7e829	Sitting Number 174, Legislative period XXV, Thursday, 30. March 2017	2017-03-30	Lower house	Legislative period XXV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-30-025-XXV-NRSITZ-00174	ParlaMint-AT_2017-03-30-025-XXV-NRSITZ-00174_d7e1021	Sitting Number 174, Legislative period XXV, Thursday, 30. March 2017	2017-03-30	Lower house	Legislative period XXV	-	-	Sitting 174	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
