Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00164	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00164_d7e333	Sitting Number 164, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 164	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00164	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00164_d7e370	Sitting Number 164, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 164	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00164	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00164_d7e422	Sitting Number 164, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 164	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
