Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00195	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00195_d7e612	Sitting Number 195, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00195	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00195_d7e643	Sitting Number 195, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00195	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00195_d7e1055	Sitting Number 195, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00195	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00195_d7e1087	Sitting Number 195, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
