Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-10-04-025-XXV-NRSITZ-00198	ParlaMint-AT_2017-10-04-025-XXV-NRSITZ-00198_d7e472	Sitting Number 198, Legislative period XXV, Wednesday, 4. October 2017	2017-10-04	Lower house	Legislative period XXV	-	-	Sitting 198	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-10-04-025-XXV-NRSITZ-00198	ParlaMint-AT_2017-10-04-025-XXV-NRSITZ-00198_d7e509	Sitting Number 198, Legislative period XXV, Wednesday, 4. October 2017	2017-10-04	Lower house	Legislative period XXV	-	-	Sitting 198	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-10-04-025-XXV-NRSITZ-00198	ParlaMint-AT_2017-10-04-025-XXV-NRSITZ-00198_d7e655	Sitting Number 198, Legislative period XXV, Wednesday, 4. October 2017	2017-10-04	Lower house	Legislative period XXV	-	-	Sitting 198	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
