Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-06-19-025-XXV-NRSITZ-00187	ParlaMint-AT_2017-06-19-025-XXV-NRSITZ-00187_d7e462	Sitting Number 187, Legislative period XXV, Monday, 19. June 2017	2017-06-19	Lower house	Legislative period XXV	-	-	Sitting 187	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-06-19-025-XXV-NRSITZ-00187	ParlaMint-AT_2017-06-19-025-XXV-NRSITZ-00187_d7e499	Sitting Number 187, Legislative period XXV, Monday, 19. June 2017	2017-06-19	Lower house	Legislative period XXV	-	-	Sitting 187	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-06-19-025-XXV-NRSITZ-00187	ParlaMint-AT_2017-06-19-025-XXV-NRSITZ-00187_d7e642	Sitting Number 187, Legislative period XXV, Monday, 19. June 2017	2017-06-19	Lower house	Legislative period XXV	-	-	Sitting 187	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
