Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-04-27-025-XXV-NRSITZ-00178	ParlaMint-AT_2017-04-27-025-XXV-NRSITZ-00178_d7e446	Sitting Number 178, Legislative period XXV, Thursday, 27. April 2017	2017-04-27	Lower house	Legislative period XXV	-	-	Sitting 178	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-04-27-025-XXV-NRSITZ-00178	ParlaMint-AT_2017-04-27-025-XXV-NRSITZ-00178_d7e486	Sitting Number 178, Legislative period XXV, Thursday, 27. April 2017	2017-04-27	Lower house	Legislative period XXV	-	-	Sitting 178	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-04-27-025-XXV-NRSITZ-00178	ParlaMint-AT_2017-04-27-025-XXV-NRSITZ-00178_d7e672	Sitting Number 178, Legislative period XXV, Thursday, 27. April 2017	2017-04-27	Lower house	Legislative period XXV	-	-	Sitting 178	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
