Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00163	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00163_d7e520	Sitting Number 163, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00163	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00163_d7e557	Sitting Number 163, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2017-02-01-025-XXV-NRSITZ-00163	ParlaMint-AT_2017-02-01-025-XXV-NRSITZ-00163_d7e765	Sitting Number 163, Legislative period XXV, Wednesday, 1. February 2017	2017-02-01	Lower house	Legislative period XXV	-	-	Sitting 163	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
