Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00196	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00196_d7e333	Sitting Number 196, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 196	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00196	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00196_d7e364	Sitting Number 196, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 196	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-09-20-025-XXV-NRSITZ-00196	ParlaMint-AT_2017-09-20-025-XXV-NRSITZ-00196_d7e409	Sitting Number 196, Legislative period XXV, Wednesday, 20. September 2017	2017-09-20	Lower house	Legislative period XXV	-	-	Sitting 196	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
