Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-06-28-025-XXV-NRSITZ-00189	ParlaMint-AT_2017-06-28-025-XXV-NRSITZ-00189_d7e1392	Sitting Number 189, Legislative period XXV, Wednesday, 28. June 2017	2017-06-28	Lower house	Legislative period XXV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-06-28-025-XXV-NRSITZ-00189	ParlaMint-AT_2017-06-28-025-XXV-NRSITZ-00189_d7e1423	Sitting Number 189, Legislative period XXV, Wednesday, 28. June 2017	2017-06-28	Lower house	Legislative period XXV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-06-28-025-XXV-NRSITZ-00189	ParlaMint-AT_2017-06-28-025-XXV-NRSITZ-00189_d7e1554	Sitting Number 189, Legislative period XXV, Wednesday, 28. June 2017	2017-06-28	Lower house	Legislative period XXV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
