Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-12-13-026-XXVI-NRSITZ-00003	ParlaMint-AT_2017-12-13-026-XXVI-NRSITZ-00003_d7e352	Sitting Number 3, Legislative period XXVI, Wednesday, 13. December 2017	2017-12-13	Lower house	Legislative period XXVI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-12-13-026-XXVI-NRSITZ-00003	ParlaMint-AT_2017-12-13-026-XXVI-NRSITZ-00003_d7e383	Sitting Number 3, Legislative period XXVI, Wednesday, 13. December 2017	2017-12-13	Lower house	Legislative period XXVI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-12-13-026-XXVI-NRSITZ-00003	ParlaMint-AT_2017-12-13-026-XXVI-NRSITZ-00003_d7e632	Sitting Number 3, Legislative period XXVI, Wednesday, 13. December 2017	2017-12-13	Lower house	Legislative period XXVI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
