Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-03-29-025-XXV-NRSITZ-00172	ParlaMint-AT_2017-03-29-025-XXV-NRSITZ-00172_d7e415	Sitting Number 172, Legislative period XXV, Wednesday, 29. March 2017	2017-03-29	Lower house	Legislative period XXV	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-29-025-XXV-NRSITZ-00172	ParlaMint-AT_2017-03-29-025-XXV-NRSITZ-00172_d7e446	Sitting Number 172, Legislative period XXV, Wednesday, 29. March 2017	2017-03-29	Lower house	Legislative period XXV	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-03-29-025-XXV-NRSITZ-00172	ParlaMint-AT_2017-03-29-025-XXV-NRSITZ-00172_d7e807	Sitting Number 172, Legislative period XXV, Wednesday, 29. March 2017	2017-03-29	Lower house	Legislative period XXV	-	-	Sitting 172	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
