Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-04-26-025-XXV-NRSITZ-00176	ParlaMint-AT_2017-04-26-025-XXV-NRSITZ-00176_d7e504	Sitting Number 176, Legislative period XXV, Wednesday, 26. April 2017	2017-04-26	Lower house	Legislative period XXV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-04-26-025-XXV-NRSITZ-00176	ParlaMint-AT_2017-04-26-025-XXV-NRSITZ-00176_d7e538	Sitting Number 176, Legislative period XXV, Wednesday, 26. April 2017	2017-04-26	Lower house	Legislative period XXV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-04-26-025-XXV-NRSITZ-00176	ParlaMint-AT_2017-04-26-025-XXV-NRSITZ-00176_d7e850	Sitting Number 176, Legislative period XXV, Wednesday, 26. April 2017	2017-04-26	Lower house	Legislative period XXV	-	-	Sitting 176	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
