Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-07-13-025-XXV-NRSITZ-00193	ParlaMint-AT_2017-07-13-025-XXV-NRSITZ-00193_d7e395	Sitting Number 193, Legislative period XXV, Thursday, 13. July 2017	2017-07-13	Lower house	Legislative period XXV	-	-	Sitting 193	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-07-13-025-XXV-NRSITZ-00193	ParlaMint-AT_2017-07-13-025-XXV-NRSITZ-00193_d7e426	Sitting Number 193, Legislative period XXV, Thursday, 13. July 2017	2017-07-13	Lower house	Legislative period XXV	-	-	Sitting 193	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-07-13-025-XXV-NRSITZ-00193	ParlaMint-AT_2017-07-13-025-XXV-NRSITZ-00193_d7e559	Sitting Number 193, Legislative period XXV, Thursday, 13. July 2017	2017-07-13	Lower house	Legislative period XXV	-	-	Sitting 193	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2017-07-13-025-XXV-NRSITZ-00193	ParlaMint-AT_2017-07-13-025-XXV-NRSITZ-00193_d7e595	Sitting Number 193, Legislative period XXV, Thursday, 13. July 2017	2017-07-13	Lower house	Legislative period XXV	-	-	Sitting 193	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
