Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2017-06-07-025-XXV-NRSITZ-00185	ParlaMint-AT_2017-06-07-025-XXV-NRSITZ-00185_d7e333	Sitting Number 185, Legislative period XXV, Wednesday, 7. June 2017	2017-06-07	Lower house	Legislative period XXV	-	-	Sitting 185	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-06-07-025-XXV-NRSITZ-00185	ParlaMint-AT_2017-06-07-025-XXV-NRSITZ-00185_d7e367	Sitting Number 185, Legislative period XXV, Wednesday, 7. June 2017	2017-06-07	Lower house	Legislative period XXV	-	-	Sitting 185	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2017-06-07-025-XXV-NRSITZ-00185	ParlaMint-AT_2017-06-07-025-XXV-NRSITZ-00185_d7e498	Sitting Number 185, Legislative period XXV, Wednesday, 7. June 2017	2017-06-07	Lower house	Legislative period XXV	-	-	Sitting 185	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
