Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e26	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e60	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e63	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e68	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e71	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.SIRE	Engesæth, Siri	F	1969	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e76	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e79	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	MDG	Miljøpartiet De Grønne	-	Centre-left	person.UAB	Bastholm, Une	F	1986	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e84	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e138	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.PAF	Farstad, Pål	M	1959	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e185	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e230	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.PAF	Farstad, Pål	M	1959	
