Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2017-10-13-S1-commons	ParlaMint-GR_2017-10-13-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 9, 2017-10-13	2017-10-13	Unicameralism	17	3	-	9	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2017-10-13-S1-commons	ParlaMint-GR_2017-10-13-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 9, 2017-10-13	2017-10-13	Unicameralism	17	3	-	9	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2017-10-13-S1-commons	ParlaMint-GR_2017-10-13-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 9, 2017-10-13	2017-10-13	Unicameralism	17	3	-	9	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
