Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2002-07-26-0	ParlaMint-BA_2002-07-26-0.u2909	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 23	2002-07-26	Unicameralism	3. mandat	-	Sjednica 23	2002-07-26	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2002-07-26-0	ParlaMint-BA_2002-07-26-0.u2910	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 23	2002-07-26	Unicameralism	3. mandat	-	Sjednica 23	2002-07-26	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2002-07-26-0	ParlaMint-BA_2002-07-26-0.u2911	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 23	2002-07-26	Unicameralism	3. mandat	-	Sjednica 23	2002-07-26	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	ŠpirićNikola	Špirić, Nikola	M	1956	
