Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-03-31-022-XXII-NRSITZ-00100	ParlaMint-AT_2005-03-31-022-XXII-NRSITZ-00100_d7e355	Sitting Number 100, Legislative period XXII, Thursday, 31. March 2005	2005-03-31	Lower house	Legislative period XXII	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2005-03-31-022-XXII-NRSITZ-00100	ParlaMint-AT_2005-03-31-022-XXII-NRSITZ-00100_d7e386	Sitting Number 100, Legislative period XXII, Thursday, 31. March 2005	2005-03-31	Lower house	Legislative period XXII	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2005-03-31-022-XXII-NRSITZ-00100	ParlaMint-AT_2005-03-31-022-XXII-NRSITZ-00100_d7e499	Sitting Number 100, Legislative period XXII, Thursday, 31. March 2005	2005-03-31	Lower house	Legislative period XXII	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
